EM,EN,unicode,label,strategy,image
🉐🆘,critical element,U+1F250 U+1F198,1,2,./generated_img_dataset/train_google/595.png
👩‍🔬❗,critical element,U+1F469 U+200D U+1F52C U+2757,1,1,./generated_img_dataset/train_google/596.png
🍲🍲👍,thick soup,U+1F372 U+1F372 U+1F44D,1,1,./generated_img_dataset/train_google/597.png
🍲🍲🍲,thick soup,U+1F372 U+1F372 U+1F372,1,3,./generated_img_dataset/train_google/598.png
🥫🍦,thick soup,U+1F96B U+1F366,1,1,./generated_img_dataset/train_google/599.png
💦🥣,thick soup,U+1F4A6 U+1F963,1,1,./generated_img_dataset/train_google/600.png
🙌🍲,thick soup,U+1F64C U+1F372,1,1,./generated_img_dataset/train_google/601.png
🫕🫕🫕,thick soup,U+1FAD5 U+1FAD5 U+1FAD5,1,3,./generated_img_dataset/train_google/602.png
📏🥣,thick soup,U+1F4CF U+1F963,1,1,./generated_img_dataset/train_google/603.png
🥣,thick soup,U+1F963,1,4,./generated_img_dataset/train_google/604.png
🌋💨,thick smoke,U+1F30B U+1F4A8,1,1,./generated_img_dataset/train_google/605.png
💨💨💨😤🌋🚬😤,thick smoke,U+1F4A8 U+1F4A8 U+1F4A8 U+1F624 U+1F30B U+1F6AC U+1F624,1,1,./generated_img_dataset/train_google/606.png
💨👁️❌,thick smoke,U+1F4A8 U+1F441 U+FE0F U+274C,1,1,./generated_img_dataset/train_google/607.png
💨🚬,thick smoke,U+1F4A8 U+1F6AC,1,1,./generated_img_dataset/train_google/608.png
🌋🌋🌋😷,thick smoke,U+1F30B U+1F30B U+1F30B U+1F637,1,1,./generated_img_dataset/train_google/609.png
💨💨🌫️🌫️,thick smoke,U+1F4A8 U+1F4A8 U+1F32B U+FE0F U+1F32B U+FE0F,1,2,./generated_img_dataset/train_google/610.png
🔥💨💨💨💨,thick smoke,U+1F525 U+1F4A8 U+1F4A8 U+1F4A8 U+1F4A8,1,1,./generated_img_dataset/train_google/611.png
💨,thick smoke,U+1F4A8,1,4,./generated_img_dataset/train_google/612.png
🍦🍦🍦,thick cream,U+1F366 U+1F366 U+1F366,1,3,./generated_img_dataset/train_google/613.png
🍨🍦,thick cream,U+1F368 U+1F366,1,2,./generated_img_dataset/train_google/614.png
🍦🥫🍦🍦🍦🍦,thick cream,U+1F366 U+1F96B U+1F366 U+1F366 U+1F366 U+1F366,1,2,./generated_img_dataset/train_google/615.png
🧁,thick cream,U+1F9C1,1,4,./generated_img_dataset/train_google/616.png
🧴💪,thick cream,U+1F9F4 U+1F4AA,1,1,./generated_img_dataset/train_google/617.png
🍶🍶,thick cream,U+1F376 U+1F376,1,3,./generated_img_dataset/train_google/618.png
📏🍦🍦,thick cream,U+1F4CF U+1F366 U+1F366,1,1,./generated_img_dataset/train_google/619.png
🍦,thick cream,U+1F366,1,4,./generated_img_dataset/train_google/620.png
🌫️🌫️🌫️,thick fog,U+1F32B U+FE0F U+1F32B U+FE0F U+1F32B U+FE0F,1,3,./generated_img_dataset/train_google/621.png
✈️🙈,thick fog,U+2708 U+FE0F U+1F648,1,1,./generated_img_dataset/train_google/622.png
💨👁️🌫️,thick fog,U+1F4A8 U+1F441 U+FE0F U+1F32B U+FE0F,1,1,./generated_img_dataset/train_google/623.png
🌫️🌫️🌁,thick fog,U+1F32B U+FE0F U+1F32B U+FE0F U+1F301,1,2,./generated_img_dataset/train_google/624.png
🌫️🌫️🌫️,thick fog,U+1F32B U+FE0F U+1F32B U+FE0F U+1F32B U+FE0F,1,3,./generated_img_dataset/train_google/625.png
🌫️🌫️,thick fog,U+1F32B U+FE0F U+1F32B U+FE0F,1,3,./generated_img_dataset/train_google/626.png
📏🌫️🌫️🌫️🌁🌁,thick fog,U+1F4CF U+1F32B U+FE0F U+1F32B U+FE0F U+1F32B U+FE0F U+1F301 U+1F301,1,2,./generated_img_dataset/train_google/627.png
🌫️😶‍🌫️,thick fog,U+1F32B U+FE0F U+1F636 U+200D U+1F32B U+FE0F,1,2,./generated_img_dataset/train_google/628.png
❌📄,wrong paper,U+274C U+1F4C4,1,0,./generated_img_dataset/train_google/629.png
❌📜,wrong paper,U+274C U+1F4DC,1,0,./generated_img_dataset/train_google/630.png
🙅‍♀️📃,wrong paper,U+1F645 U+200D U+2640 U+FE0F U+1F4C3,1,0,./generated_img_dataset/train_google/631.png
❌📄,wrong paper,U+274C U+1F4C4,1,0,./generated_img_dataset/train_google/632.png
🙅‍♂️📄,wrong paper,U+1F645 U+200D U+2642 U+FE0F U+1F4C4,1,0,./generated_img_dataset/train_google/633.png
❌📃,wrong paper,U+274C U+1F4C3,1,0,./generated_img_dataset/train_google/634.png
❌📜,wrong paper,U+274C U+1F4DC,1,0,./generated_img_dataset/train_google/635.png
❌📃,wrong paper,U+274C U+1F4C3,1,0,./generated_img_dataset/train_google/636.png
❌🛣️,wrong road,U+274C U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/637.png
❌🛣️,wrong road,U+274C U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/638.png
🙅‍♀️🛣️,wrong road,U+1F645 U+200D U+2640 U+FE0F U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/639.png
❌🛣️,wrong road,U+274C U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/640.png
🙅‍♂️🛣️,wrong road,U+1F645 U+200D U+2642 U+FE0F U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/641.png
❌🛣️,wrong road,U+274C U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/642.png
❌🛣️,wrong road,U+274C U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/643.png
🙅🛣️,wrong road,U+1F645 U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/644.png
❌👩‍💻,wrong cheating,U+274C U+1F469 U+200D U+1F4BB,1,0,./generated_img_dataset/train_google/645.png
❌📑,wrong cheating,U+274C U+1F4D1,1,0,./generated_img_dataset/train_google/646.png
🙅‍♀️💔,wrong cheating,U+1F645 U+200D U+2640 U+FE0F U+1F494,1,1,./generated_img_dataset/train_google/647.png
🙅👩‍❤️‍💋‍👨💔,wrong cheating,U+1F645 U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F494,1,1,./generated_img_dataset/train_google/648.png
🙅‍♂️😈🤫✍️📄📚💯,wrong cheating,U+1F645 U+200D U+2642 U+FE0F U+1F608 U+1F92B U+270D U+FE0F U+1F4C4 U+1F4DA U+1F4AF,1,1,./generated_img_dataset/train_google/649.png
👎📝,wrong cheating,U+1F44E U+1F4DD,1,0,./generated_img_dataset/train_google/650.png
❌📝📋,wrong cheating,U+274C U+1F4DD U+1F4CB,1,0,./generated_img_dataset/train_google/651.png
😏👎,wrong cheating,U+1F60F U+1F44E,1,1,./generated_img_dataset/train_google/652.png
❌↗️↖️❎,wrong way,U+274C U+2197 U+FE0F U+2196 U+FE0F U+274E,1,1,./generated_img_dataset/train_google/653.png
❌↩️,wrong way,U+274C U+21A9 U+FE0F,1,0,./generated_img_dataset/train_google/654.png
🙅‍♀️🚸,wrong way,U+1F645 U+200D U+2640 U+FE0F U+1F6B8,1,0,./generated_img_dataset/train_google/655.png
❌↗️🗺️,wrong way,U+274C U+2197 U+FE0F U+1F5FA U+FE0F,1,1,./generated_img_dataset/train_google/656.png
🙅‍♂️🗺️🧭,wrong way,U+1F645 U+200D U+2642 U+FE0F U+1F5FA U+FE0F U+1F9ED,1,1,./generated_img_dataset/train_google/657.png
❌🧭,wrong way,U+274C U+1F9ED,1,1,./generated_img_dataset/train_google/658.png
❌🗺️🙅‍♀️,wrong way,U+274C U+1F5FA U+FE0F U+1F645 U+200D U+2640 U+FE0F,1,0,./generated_img_dataset/train_google/659.png
🤦🧭,wrong way,U+1F926 U+1F9ED,1,0,./generated_img_dataset/train_google/660.png
❌💊,wrong medicine,U+274C U+1F48A,1,0,./generated_img_dataset/train_google/661.png
❌💊,wrong medicine,U+274C U+1F48A,1,0,./generated_img_dataset/train_google/662.png
🙅‍♀️💊,wrong medicine,U+1F645 U+200D U+2640 U+FE0F U+1F48A,1,0,./generated_img_dataset/train_google/663.png
❌💊🤒,wrong medicine,U+274C U+1F48A U+1F912,1,0,./generated_img_dataset/train_google/664.png
🙅‍♂️💊,wrong medicine,U+1F645 U+200D U+2642 U+FE0F U+1F48A,1,0,./generated_img_dataset/train_google/665.png
❌💊,wrong medicine,U+274C U+1F48A,1,0,./generated_img_dataset/train_google/666.png
❌💊,wrong medicine,U+274C U+1F48A,1,0,./generated_img_dataset/train_google/667.png
❌💊,wrong medicine,U+274C U+1F48A,1,0,./generated_img_dataset/train_google/668.png
❌ℹ️,wrong information,U+274C U+2139 U+FE0F,1,0,./generated_img_dataset/train_google/669.png
❌ℹ️,wrong information,U+274C U+2139 U+FE0F,1,0,./generated_img_dataset/train_google/670.png
🙅‍♀️ℹ️,wrong information,U+1F645 U+200D U+2640 U+FE0F U+2139 U+FE0F,1,0,./generated_img_dataset/train_google/671.png
❌💭❓,wrong information,U+274C U+1F4AD U+2753,1,1,./generated_img_dataset/train_google/672.png
🙅‍♂️📑🗂️,wrong information,U+1F645 U+200D U+2642 U+FE0F U+1F4D1 U+1F5C2 U+FE0F,1,0,./generated_img_dataset/train_google/673.png
❌🧠,wrong information,U+274C U+1F9E0,1,1,./generated_img_dataset/train_google/674.png
❌📰,wrong information,U+274C U+1F4F0,1,0,./generated_img_dataset/train_google/675.png
❌ℹ️,wrong information,U+274C U+2139 U+FE0F,1,0,./generated_img_dataset/train_google/676.png
❌🤔,wrong assumption,U+274C U+1F914,1,0,./generated_img_dataset/train_google/677.png
❌💭,wrong assumption,U+274C U+1F4AD,1,0,./generated_img_dataset/train_google/678.png
🙅‍♀️🤔,wrong assumption,U+1F645 U+200D U+2640 U+FE0F U+1F914,1,0,./generated_img_dataset/train_google/679.png
👄❌👄💬,wrong assumption,U+1F444 U+274C U+1F444 U+1F4AC,1,0,./generated_img_dataset/train_google/680.png
🙅‍♂️🤔,wrong assumption,U+1F645 U+200D U+2642 U+FE0F U+1F914,1,0,./generated_img_dataset/train_google/681.png
❌👀🧠,wrong assumption,U+274C U+1F440 U+1F9E0,1,0,./generated_img_dataset/train_google/682.png
❌🤔,wrong assumption,U+274C U+1F914,1,0,./generated_img_dataset/train_google/683.png
🤔🤦,wrong assumption,U+1F914 U+1F926,1,1,./generated_img_dataset/train_google/684.png
❌⏰,wrong time,U+274C U+23F0,1,0,./generated_img_dataset/train_google/685.png
❌🕡,wrong time,U+274C U+1F561,1,0,./generated_img_dataset/train_google/686.png
🙅‍♀️🕰️,wrong time,U+1F645 U+200D U+2640 U+FE0F U+1F570 U+FE0F,1,0,./generated_img_dataset/train_google/687.png
❌⏱️⏰,wrong time,U+274C U+23F1 U+FE0F U+23F0,1,0,./generated_img_dataset/train_google/688.png
🙅‍♂️⏱️,wrong time,U+1F645 U+200D U+2642 U+FE0F U+23F1 U+FE0F,1,0,./generated_img_dataset/train_google/689.png
❌⏰,wrong time,U+274C U+23F0,1,0,./generated_img_dataset/train_google/690.png
❌⏱️,wrong time,U+274C U+23F1 U+FE0F,1,0,./generated_img_dataset/train_google/691.png
🤦⌚,wrong time,U+1F926 U+231A,1,1,./generated_img_dataset/train_google/692.png
♨️🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑,warm support,U+2668 U+FE0F U+1F9D1 U+200D U+1F91D U+200D U+1F9D1 U+1F9D1 U+200D U+1F91D U+200D U+1F9D1 U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,1,1,./generated_img_dataset/train_google/693.png
🌡️🫂,warm support,U+1F321 U+FE0F U+1FAC2,1,0,./generated_img_dataset/train_google/694.png
🤝🥵,warm support,U+1F91D U+1F975,1,0,./generated_img_dataset/train_google/695.png
👪🥰,warm support,U+1F46A U+1F970,1,1,./generated_img_dataset/train_google/696.png
🫂🤗,warm support,U+1FAC2 U+1F917,1,0,./generated_img_dataset/train_google/697.png
🥰,warm support,U+1F970,1,4,./generated_img_dataset/train_google/698.png
🔥💪🏻,warm support,U+1F525 U+1F4AA U+1F3FB,1,0,./generated_img_dataset/train_google/699.png
🌡️💪,warm support,U+1F321 U+FE0F U+1F4AA,1,0,./generated_img_dataset/train_google/700.png
♨️🤗🤝,warm greeting,U+2668 U+FE0F U+1F917 U+1F91D,1,0,./generated_img_dataset/train_google/701.png
♨️👋,warm greeting,U+2668 U+FE0F U+1F44B,1,0,./generated_img_dataset/train_google/702.png
🥵👋,warm greeting,U+1F975 U+1F44B,1,0,./generated_img_dataset/train_google/703.png
👋🥰,warm greeting,U+1F44B U+1F970,1,1,./generated_img_dataset/train_google/704.png
😊👋,warm greeting,U+1F60A U+1F44B,1,1,./generated_img_dataset/train_google/705.png
👋👋👋,warm greeting,U+1F44B U+1F44B U+1F44B,1,3,./generated_img_dataset/train_google/706.png
❤️👋,warm greeting,U+2764 U+FE0F U+1F44B,1,1,./generated_img_dataset/train_google/707.png
🌡️🤝,warm greeting,U+1F321 U+FE0F U+1F91D,1,0,./generated_img_dataset/train_google/708.png
♨️⚖️,warm debate,U+2668 U+FE0F U+2696 U+FE0F,1,0,./generated_img_dataset/train_google/709.png
🔥🗣️,warm debate,U+1F525 U+1F5E3 U+FE0F,1,0,./generated_img_dataset/train_google/710.png
🕵️‍♂️🕵️‍♀️,warm debate,U+1F575 U+FE0F U+200D U+2642 U+FE0F U+1F575 U+FE0F U+200D U+2640 U+FE0F,1,3,./generated_img_dataset/train_google/711.png
🧠🗣️💥,warm debate,U+1F9E0 U+1F5E3 U+FE0F U+1F4A5,1,0,./generated_img_dataset/train_google/712.png
🗣️🔥🗣️,warm debate,U+1F5E3 U+FE0F U+1F525 U+1F5E3 U+FE0F,1,0,./generated_img_dataset/train_google/713.png
👄🤯,warm debate,U+1F444 U+1F92F,1,1,./generated_img_dataset/train_google/714.png
💥🧠,warm debate,U+1F4A5 U+1F9E0,1,1,./generated_img_dataset/train_google/715.png
🌡️🗣️🗣️,warm debate,U+1F321 U+FE0F U+1F5E3 U+FE0F U+1F5E3 U+FE0F,1,0,./generated_img_dataset/train_google/716.png
♨️😮‍💨,warm room,U+2668 U+FE0F U+1F62E U+200D U+1F4A8,1,1,./generated_img_dataset/train_google/717.png
🌡️🚺🚹,warm room,U+1F321 U+FE0F U+1F6BA U+1F6B9,1,0,./generated_img_dataset/train_google/718.png
🥵🏡,warm room,U+1F975 U+1F3E1,1,0,./generated_img_dataset/train_google/719.png
🥵🏫,warm room,U+1F975 U+1F3EB,1,0,./generated_img_dataset/train_google/720.png
🥵🌡️🏚️,warm room,U+1F975 U+1F321 U+FE0F U+1F3DA U+FE0F,1,0,./generated_img_dataset/train_google/721.png
🥵,warm room,U+1F975,1,4,./generated_img_dataset/train_google/722.png
🔥🏠,warm room,U+1F525 U+1F3E0,1,0,./generated_img_dataset/train_google/723.png
🌡️🏠,warm room,U+1F321 U+FE0F U+1F3E0,1,0,./generated_img_dataset/train_google/724.png
♨️🦶🦵👃👂🖐️,warm body,U+2668 U+FE0F U+1F9B6 U+1F9B5 U+1F443 U+1F442 U+1F590 U+FE0F,1,2,./generated_img_dataset/train_google/725.png
🌡️🧍‍♂️,warm body,U+1F321 U+FE0F U+1F9CD U+200D U+2642 U+FE0F,1,0,./generated_img_dataset/train_google/726.png
🎥💁‍♀️❤️🧟‍♂️,warm body,U+1F3A5 U+1F481 U+200D U+2640 U+FE0F U+2764 U+FE0F U+1F9DF U+200D U+2642 U+FE0F,1,1,./generated_img_dataset/train_google/727.png
🤒,warm body,U+1F912,1,4,./generated_img_dataset/train_google/728.png
🤒,warm body,U+1F912,1,4,./generated_img_dataset/train_google/729.png
🥵,warm body,U+1F975,1,4,./generated_img_dataset/train_google/730.png
🔥🧖‍♂️,warm body,U+1F525 U+1F9D6 U+200D U+2642 U+FE0F,1,0,./generated_img_dataset/train_google/731.png
🌡️🧍,warm body,U+1F321 U+FE0F U+1F9CD,1,0,./generated_img_dataset/train_google/732.png
♨️⛅,warm climate,U+2668 U+FE0F U+26C5,1,0,./generated_img_dataset/train_google/733.png
🌡️🏜️,warm climate,U+1F321 U+FE0F U+1F3DC U+FE0F,1,1,./generated_img_dataset/train_google/734.png
🥵🏝️,warm climate,U+1F975 U+1F3DD U+FE0F,1,1,./generated_img_dataset/train_google/735.png
🤒🥵🔥☀️,warm climate,U+1F912 U+1F975 U+1F525 U+2600 U+FE0F,1,1,./generated_img_dataset/train_google/736.png
☀️🌡️📈,warm climate,U+2600 U+FE0F U+1F321 U+FE0F U+1F4C8,1,1,./generated_img_dataset/train_google/737.png
🌤️,warm climate,U+1F324 U+FE0F,1,4,./generated_img_dataset/train_google/738.png
🌤️,warm climate,U+1F324 U+FE0F,1,4,./generated_img_dataset/train_google/739.png
🌡️🌏,warm climate,U+1F321 U+FE0F U+1F30F,1,1,./generated_img_dataset/train_google/740.png
♨️🧥,warm coat,U+2668 U+FE0F U+1F9E5,1,0,./generated_img_dataset/train_google/741.png
🌡️🧥,warm coat,U+1F321 U+FE0F U+1F9E5,1,0,./generated_img_dataset/train_google/742.png
🥵🥼,warm coat,U+1F975 U+1F97C,1,0,./generated_img_dataset/train_google/743.png
🧥🥵,warm coat,U+1F9E5 U+1F975,1,0,./generated_img_dataset/train_google/744.png
👍🧥❌🥶,warm coat,U+1F44D U+1F9E5 U+274C U+1F976,1,0,./generated_img_dataset/train_google/745.png
🧥,warm coat,U+1F9E5,1,4,./generated_img_dataset/train_google/746.png
🧥,warm coat,U+1F9E5,1,4,./generated_img_dataset/train_google/747.png
🌡️🥼,warm coat,U+1F321 U+FE0F U+1F97C,1,0,./generated_img_dataset/train_google/748.png
♨️🙂👤,warm personality,U+2668 U+FE0F U+1F642 U+1F464,1,0,./generated_img_dataset/train_google/749.png
🔥😝,warm personality,U+1F525 U+1F61D,1,0,./generated_img_dataset/train_google/750.png
🥵🤝👋,warm personality,U+1F975 U+1F91D U+1F44B,1,0,./generated_img_dataset/train_google/751.png
🥰👭,warm personality,U+1F970 U+1F46D,1,1,./generated_img_dataset/train_google/752.png
👊🧑‍🤝‍🧑,warm personality,U+1F44A U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,1,1,./generated_img_dataset/train_google/753.png
🥰,warm personality,U+1F970,1,4,./generated_img_dataset/train_google/754.png
😁🥳,warm personality,U+1F601 U+1F973,1,2,./generated_img_dataset/train_google/755.png
🌡️💁‍♀️,warm personality,U+1F321 U+FE0F U+1F481 U+200D U+2640 U+FE0F,1,0,./generated_img_dataset/train_google/756.png
🔎👩🏻,clear complexion,U+1F50E U+1F469 U+1F3FB,1,0,./generated_img_dataset/train_google/757.png
👩✨,clear complexion,U+1F469 U+2728,1,1,./generated_img_dataset/train_google/758.png
😌✨✨,clear complexion,U+1F60C U+2728 U+2728,1,1,./generated_img_dataset/train_google/759.png
💁‍♀️,clear complexion,U+1F481 U+200D U+2640 U+FE0F,1,4,./generated_img_dataset/train_google/760.png
💆‍♀️👌,clear complexion,U+1F486 U+200D U+2640 U+FE0F U+1F44C,1,0,./generated_img_dataset/train_google/761.png
👨🚰🥗🪞✨,clear complexion,U+1F468 U+1F6B0 U+1F957 U+1FA9E U+2728,1,1,./generated_img_dataset/train_google/762.png
😍🧴,clear complexion,U+1F60D U+1F9F4,1,1,./generated_img_dataset/train_google/763.png
🔎👉,clear indication,U+1F50E U+1F449,1,0,./generated_img_dataset/train_google/764.png
✔️✔️,clear indication,U+2714 U+FE0F U+2714 U+FE0F,1,3,./generated_img_dataset/train_google/765.png
😲😲🆗,clear indication,U+1F632 U+1F632 U+1F197,1,1,./generated_img_dataset/train_google/766.png
🔮👓,clear indication,U+1F52E U+1F453,1,0,./generated_img_dataset/train_google/767.png
✔️✍️,clear indication,U+2714 U+FE0F U+270D U+FE0F,1,0,./generated_img_dataset/train_google/768.png
💬✔️❌❓,clear indication,U+1F4AC U+2714 U+FE0F U+274C U+2753,1,0,./generated_img_dataset/train_google/769.png
🗣️👍🏻,clear indication,U+1F5E3 U+FE0F U+1F44D U+1F3FB,1,0,./generated_img_dataset/train_google/770.png
🌬️,clear air,U+1F32C U+FE0F,1,4,./generated_img_dataset/train_google/771.png
⛰️🌬️,clear air,U+26F0 U+FE0F U+1F32C U+FE0F,1,1,./generated_img_dataset/train_google/772.png
💨💨✨,clear air,U+1F4A8 U+1F4A8 U+2728,1,1,./generated_img_dataset/train_google/773.png
🍃❌🚬🧹,clear air,U+1F343 U+274C U+1F6AC U+1F9F9,1,1,./generated_img_dataset/train_google/774.png
🌬️🍃👍,clear air,U+1F32C U+FE0F U+1F343 U+1F44D,1,0,./generated_img_dataset/train_google/775.png
💨✨❌🦠,clear air,U+1F4A8 U+2728 U+274C U+1F9A0,1,1,./generated_img_dataset/train_google/776.png
👍🏻🌬️,clear air,U+1F44D U+1F3FB U+1F32C U+FE0F,1,0,./generated_img_dataset/train_google/777.png
🔎💼,clear case,U+1F50E U+1F4BC,1,0,./generated_img_dataset/train_google/778.png
✔️💼,clear case,U+2714 U+FE0F U+1F4BC,1,0,./generated_img_dataset/train_google/779.png
👀🗣️,clear case,U+1F440 U+1F5E3 U+FE0F,1,1,./generated_img_dataset/train_google/780.png
🪟💼,clear case,U+1FA9F U+1F4BC,1,0,./generated_img_dataset/train_google/781.png
✔️💼,clear case,U+2714 U+FE0F U+1F4BC,1,0,./generated_img_dataset/train_google/782.png
🕵️🔬🔪🩸💡,clear case,U+1F575 U+FE0F U+1F52C U+1F52A U+1FA78 U+1F4A1,1,1,./generated_img_dataset/train_google/783.png
📂,clear case,U+1F4C2,1,4,./generated_img_dataset/train_google/784.png
🔎💡,clear idea,U+1F50E U+1F4A1,1,0,./generated_img_dataset/train_google/785.png
✔️💡,clear idea,U+2714 U+FE0F U+1F4A1,1,0,./generated_img_dataset/train_google/786.png
🧠😲🆗,clear idea,U+1F9E0 U+1F632 U+1F197,1,1,./generated_img_dataset/train_google/787.png
🪟💡,clear idea,U+1FA9F U+1F4A1,1,0,./generated_img_dataset/train_google/788.png
✔️💡,clear idea,U+2714 U+FE0F U+1F4A1,1,0,./generated_img_dataset/train_google/789.png
🤔💭💡✅,clear idea,U+1F914 U+1F4AD U+1F4A1 U+2705,1,1,./generated_img_dataset/train_google/790.png
📑👍🏻,clear idea,U+1F4D1 U+1F44D U+1F3FB,1,0,./generated_img_dataset/train_google/791.png
🔎🗣️,clear explanation,U+1F50E U+1F5E3 U+FE0F,1,0,./generated_img_dataset/train_google/792.png
✔️🗣️,clear explanation,U+2714 U+FE0F U+1F5E3 U+FE0F,1,0,./generated_img_dataset/train_google/793.png
💬😲🆗,clear explanation,U+1F4AC U+1F632 U+1F197,1,0,./generated_img_dataset/train_google/794.png
👩‍🏫💯🗣️,clear explanation,U+1F469 U+200D U+1F3EB U+1F4AF U+1F5E3 U+FE0F,1,1,./generated_img_dataset/train_google/795.png
🗣️💡,clear explanation,U+1F5E3 U+FE0F U+1F4A1,1,1,./generated_img_dataset/train_google/796.png
🤔❔👨‍🏫🗣️💡✅😀,clear explanation,U+1F914 U+2754 U+1F468 U+200D U+1F3EB U+1F5E3 U+FE0F U+1F4A1 U+2705 U+1F600,1,1,./generated_img_dataset/train_google/797.png
👍🏻🗣️,clear explanation,U+1F44D U+1F3FB U+1F5E3 U+FE0F,1,0,./generated_img_dataset/train_google/798.png
🔎🥛,clear glass,U+1F50E U+1F95B,1,0,./generated_img_dataset/train_google/799.png
✔️🥛,clear glass,U+2714 U+FE0F U+1F95B,1,0,./generated_img_dataset/train_google/800.png
🥃✨,clear glass,U+1F943 U+2728,1,1,./generated_img_dataset/train_google/801.png
👓🥃,clear glass,U+1F453 U+1F943,1,0,./generated_img_dataset/train_google/802.png
✔️🥛,clear glass,U+2714 U+FE0F U+1F95B,1,0,./generated_img_dataset/train_google/803.png
👓🔍✨✨,clear glass,U+1F453 U+1F50D U+2728 U+2728,1,0,./generated_img_dataset/train_google/804.png
🥃🔎,clear glass,U+1F943 U+1F50E,1,0,./generated_img_dataset/train_google/805.png
🔎💦,clear water,U+1F50E U+1F4A6,1,0,./generated_img_dataset/train_google/806.png
✔️💧,clear water,U+2714 U+FE0F U+1F4A7,1,0,./generated_img_dataset/train_google/807.png
💧💧✨,clear water,U+1F4A7 U+1F4A7 U+2728,1,1,./generated_img_dataset/train_google/808.png
👍💦💧,clear water,U+1F44D U+1F4A6 U+1F4A7,1,0,./generated_img_dataset/train_google/809.png
✔️💧,clear water,U+2714 U+FE0F U+1F4A7,1,0,./generated_img_dataset/train_google/810.png
💧💧🔬✨❌🦠,clear water,U+1F4A7 U+1F4A7 U+1F52C U+2728 U+274C U+1F9A0,1,1,./generated_img_dataset/train_google/811.png
💧⚪,clear water,U+1F4A7 U+26AA,1,1,./generated_img_dataset/train_google/812.png
🔎📑,clear-cut evidence,U+1F50E U+1F4D1,1,0,./generated_img_dataset/train_google/813.png
✔️📃,clear-cut evidence,U+2714 U+FE0F U+1F4C3,1,0,./generated_img_dataset/train_google/814.png
📶😮✨👍,clear-cut evidence,U+1F4F6 U+1F62E U+2728 U+1F44D,1,1,./generated_img_dataset/train_google/815.png
🔍🕵️‍♂️🎉,clear-cut evidence,U+1F50D U+1F575 U+FE0F U+200D U+2642 U+FE0F U+1F389,1,1,./generated_img_dataset/train_google/816.png
🕵️✂️📜,clear-cut evidence,U+1F575 U+FE0F U+2702 U+FE0F U+1F4DC,1,0,./generated_img_dataset/train_google/817.png
🔪❓🔬💡✔️,clear-cut evidence,U+1F52A U+2753 U+1F52C U+1F4A1 U+2714 U+FE0F,1,1,./generated_img_dataset/train_google/818.png
📜🔎,clear-cut evidence,U+1F4DC U+1F50E,1,0,./generated_img_dataset/train_google/819.png
🤔🏃‍♀️,unclear action,U+1F914 U+1F3C3 U+200D U+2640 U+FE0F,1,0,./generated_img_dataset/train_google/820.png
❌♟️,unclear action,U+274C U+265F U+FE0F,1,0,./generated_img_dataset/train_google/821.png
🤨🧐🤷‍♀️🤷‍♂️,unclear action,U+1F928 U+1F9D0 U+1F937 U+200D U+2640 U+FE0F U+1F937 U+200D U+2642 U+FE0F,1,2,./generated_img_dataset/train_google/822.png
❓❓❓,unclear action,U+2753 U+2753 U+2753,1,3,./generated_img_dataset/train_google/823.png
🕺🤔,unclear action,U+1F57A U+1F914,1,0,./generated_img_dataset/train_google/824.png
👨‍🏫🗣️📝❓❓❓,unclear action,U+1F468 U+200D U+1F3EB U+1F5E3 U+FE0F U+1F4DD U+2753 U+2753 U+2753,1,1,./generated_img_dataset/train_google/825.png
❓🤨,unclear action,U+2753 U+1F928,1,1,./generated_img_dataset/train_google/826.png
🕳️👀,deep trance,U+1F573 U+FE0F U+1F440,1,0,./generated_img_dataset/train_google/827.png
♒😵,deep trance,U+2652 U+1F635,1,0,./generated_img_dataset/train_google/828.png
😵,deep trance,U+1F635,1,4,./generated_img_dataset/train_google/829.png
😵‍💫,deep trance,U+1F635 U+200D U+1F4AB,1,4,./generated_img_dataset/train_google/830.png
😵‍💫😶,deep trance,U+1F635 U+200D U+1F4AB U+1F636,1,2,./generated_img_dataset/train_google/831.png
😵‍💫,deep trance,U+1F635 U+200D U+1F4AB,1,4,./generated_img_dataset/train_google/832.png
🧘‍♂️,deep trance,U+1F9D8 U+200D U+2642 U+FE0F,1,4,./generated_img_dataset/train_google/833.png
😵‍💫⬇️,deep trance,U+1F635 U+200D U+1F4AB U+2B07 U+FE0F,1,0,./generated_img_dataset/train_google/834.png
🕳️😮‍💨,deep sigh,U+1F573 U+FE0F U+1F62E U+200D U+1F4A8,1,0,./generated_img_dataset/train_google/835.png
😞😞,deep sigh,U+1F61E U+1F61E,1,3,./generated_img_dataset/train_google/836.png
